dataset,seed,fitness_method,accuracy,macro_f1,mean_per_class_accuracy
syn_bin_balanced,1,f1_score,0.7166666666666667,0.7027105800058292,0.7143474503025065
syn_bin_balanced,1,pearson_r2,0.7833333333333333,0.7825211437776882,0.7827509569082602
syn_bin_balanced,2,accuracy,0.7666666666666667,0.7643097643097643,0.7692687747035574
syn_bin_balanced,2,f1_score,0.8166666666666667,0.8166610080558042,0.8171936758893281
syn_bin_balanced,2,pearson_r2,0.8166666666666667,0.8166610080558042,0.8171936758893281
syn_bin_balanced,3,accuracy,0.7611111111111111,0.7584194263241675,0.7623780713668354
syn_bin_balanced,3,f1_score,0.6555555555555556,0.6520763187429854,0.654525250030868
syn_bin_balanced,3,pearson_r2,0.6944444444444444,0.6944350134263404,0.6945919249290036
syn_bin_balanced,4,accuracy,0.7722222222222223,0.7722151918269082,0.7722558340535869
syn_bin_balanced,4,f1_score,0.7888888888888889,0.7888888888888889,0.788986294604272
syn_bin_balanced,4,pearson_r2,0.8111111111111111,0.8107372587827808,0.8117051487838005
syn_bin_balanced,5,accuracy,0.7722222222222223,0.767741935483871,0.7722222222222221
syn_bin_balanced,5,f1_score,0.7444444444444445,0.7349891179106388,0.7444444444444445
syn_bin_balanced,5,pearson_r2,0.7722222222222223,0.771651350598719,0.7722222222222221
syn_bin_balanced,6,accuracy,0.75,0.7477499922145059,0.7511421163106556
syn_bin_balanced,6,f1_score,0.6611111111111111,0.6339877995933199,0.6581676750216077
syn_bin_balanced,6,pearson_r2,0.8388888888888889,0.8382849530654606,0.8383133720212372
syn_bin_balanced,7,accuracy,0.8,0.7996041563582384,0.79960488949253
syn_bin_balanced,7,f1_score,0.7888888888888889,0.7843903669146388,0.7873811581676751
syn_bin_balanced,7,pearson_r2,0.7944444444444444,0.7942857142857143,0.7942338560316089
syn_bin_imbalanced,0,accuracy,0.8833333333333333,0.4690265486725664,0.5
syn_bin_imbalanced,0,f1_score,0.9,0.746875,0.7367475292003594
syn_bin_imbalanced,0,pearson_r2,0.8666666666666667,0.7212903225806452,0.7592093441150045
syn_bin_imbalanced,1,accuracy,0.8888888888888888,0.47058823529411764,0.5
syn_bin_imbalanced,1,f1_score,0.7833333333333333,0.6248196248196248,0.703125
syn_bin_imbalanced,1,pearson_r2,0.9,0.6269000460617227,0.59375
syn_bin_imbalanced,2,accuracy,0.8944444444444445,0.47214076246334313,0.5
syn_bin_imbalanced,2,f1_score,0.9111111111111111,0.6901893287435455,0.6485779666557698
syn_bin_imbalanced,2,pearson_r2,0.8722222222222222,0.6962805370112244,0.7196796338672768
syn_bin_imbalanced,3,accuracy,0.8833333333333333,0.4690265486725664,0.5
syn_bin_imbalanced,3,f1_score,0.8111111111111111,0.66,0.7277628032345014
syn_bin_imbalanced,3,pearson_r2,0.8444444444444444,0.6853146853146853,0.7259658580413297
syn_bin_imbalanced,4,accuracy,0.8833333333333333,0.4690265486725664,0.496875
syn_bin_imbalanced,4,f1_score,0.8222222222222222,0.6959459459459459,0.8125
syn_bin_imbalanced,4,pearson_r2,0.8666666666666667,0.6469434455704478,0.640625
syn_bin_imbalanced,5,accuracy,0.8944444444444445,0.47214076246334313,0.5
syn_bin_imbalanced,5,f1_score,0.8222222222222222,0.6403596403596403,0.6917293233082706
syn_bin_imbalanced,5,pearson_r2,0.8555555555555555,0.6495956873315364,0.6639424648577967
syn_bin_imbalanced,6,accuracy,0.8777777777777778,0.46745562130177515,0.4968553459119497
syn_bin_imbalanced,6,f1_score,0.8388888888888889,0.6008869179600886,0.5988319856244384
syn_bin_imbalanced,6,pearson_r2,0.8333333333333334,0.5956873315363882,0.5956873315363882
syn_bin_imbalanced,7,accuracy,0.8833333333333333,0.4690265486725664,0.5
syn_bin_imbalanced,7,f1_score,0.8722222222222222,0.6163469557964971,0.5970350404312669
syn_bin_imbalanced,7,pearson_r2,0.8722222222222222,0.6163469557964971,0.5970350404312669
syn_3c_balanced,0,accuracy,0.5733333333333334,0.5637401259700039,0.5761670761670762
syn_3c_balanced,0,f1_score,0.5688888888888889,0.5696365505190667,0.5672750672750673
syn_3c_balanced,0,pearson_r2,0.6222222222222222,0.6111956705564011,0.6181701181701181
syn_3c_balanced,1,accuracy,0.6,0.5882257454872115,0.6
