dataset,seed,fitness_method,class_label,per_class_accuracy
real_digits_10c,1,pearson_r2,8,0.0
real_digits_10c,1,pearson_r2,9,0.037037037037037035
real_digits_10c,2,accuracy,0,1.0
real_digits_10c,2,accuracy,1,0.10909090909090909
real_digits_10c,2,accuracy,2,0.33962264150943394
real_digits_10c,2,accuracy,3,0.0
real_digits_10c,2,accuracy,4,0.05555555555555555
real_digits_10c,2,accuracy,5,0.0
real_digits_10c,2,accuracy,6,0.4074074074074074
real_digits_10c,2,accuracy,7,0.16666666666666666
real_digits_10c,2,accuracy,8,0.0
real_digits_10c,2,accuracy,9,0.0
real_digits_10c,2,f1_score,0,0.5185185185185185
real_digits_10c,2,f1_score,1,0.23636363636363636
real_digits_10c,2,f1_score,2,0.49056603773584906
real_digits_10c,2,f1_score,3,0.5636363636363636
real_digits_10c,2,f1_score,4,0.5555555555555556
real_digits_10c,2,f1_score,5,0.12727272727272726
real_digits_10c,2,f1_score,6,0.9444444444444444
real_digits_10c,2,f1_score,7,0.9259259259259259
real_digits_10c,2,f1_score,8,0.057692307692307696
real_digits_10c,2,f1_score,9,0.5
real_digits_10c,2,pearson_r2,0,0.9444444444444444
real_digits_10c,2,pearson_r2,1,0.0
real_digits_10c,2,pearson_r2,2,0.37735849056603776
real_digits_10c,2,pearson_r2,3,0.5818181818181818
real_digits_10c,2,pearson_r2,4,0.46296296296296297
real_digits_10c,2,pearson_r2,5,0.8909090909090909
real_digits_10c,2,pearson_r2,6,0.35185185185185186
real_digits_10c,2,pearson_r2,7,0.9259259259259259
real_digits_10c,2,pearson_r2,8,0.057692307692307696
real_digits_10c,2,pearson_r2,9,0.14814814814814814
real_digits_10c,3,accuracy,0,1.0
real_digits_10c,3,accuracy,1,0.0
real_digits_10c,3,accuracy,2,0.3018867924528302
real_digits_10c,3,accuracy,3,0.0
real_digits_10c,3,accuracy,4,0.09259259259259259
real_digits_10c,3,accuracy,5,0.0
real_digits_10c,3,accuracy,6,0.2962962962962963
real_digits_10c,3,accuracy,7,0.5185185185185185
real_digits_10c,3,accuracy,8,0.0
real_digits_10c,3,accuracy,9,0.0
real_digits_10c,3,f1_score,0,0.9814814814814815
real_digits_10c,3,f1_score,1,0.21818181818181817
real_digits_10c,3,f1_score,2,0.3018867924528302
real_digits_10c,3,f1_score,3,0.4909090909090909
real_digits_10c,3,f1_score,4,0.7222222222222222
real_digits_10c,3,f1_score,5,0.4727272727272727
real_digits_10c,3,f1_score,6,0.8148148148148148
real_digits_10c,3,f1_score,7,0.8148148148148148
real_digits_10c,3,f1_score,8,0.3269230769230769
real_digits_10c,3,f1_score,9,0.4074074074074074
real_digits_10c,3,pearson_r2,0,1.0
real_digits_10c,3,pearson_r2,1,0.16363636363636364
real_digits_10c,3,pearson_r2,2,0.5094339622641509
real_digits_10c,3,pearson_r2,3,0.03636363636363636
real_digits_10c,3,pearson_r2,4,0.8333333333333334
real_digits_10c,3,pearson_r2,5,0.01818181818181818
real_digits_10c,3,pearson_r2,6,0.8888888888888888
real_digits_10c,3,pearson_r2,7,0.8518518518518519
real_digits_10c,3,pearson_r2,8,0.0
real_digits_10c,3,pearson_r2,9,0.5740740740740741
real_digits_10c,4,accuracy,0,0.9259259259259259
real_digits_10c,4,accuracy,1,0.16363636363636364
real_digits_10c,4,accuracy,2,0.05660377358490566
real_digits_10c,4,accuracy,3,0.0
real_digits_10c,4,accuracy,4,0.037037037037037035
real_digits_10c,4,accuracy,5,0.0
real_digits_10c,4,accuracy,6,0.8333333333333334
real_digits_10c,4,accuracy,7,0.9629629629629629
real_digits_10c,4,accuracy,8,0.0
real_digits_10c,4,accuracy,9,0.0
real_digits_10c,4,f1_score,0,1.0
real_digits_10c,4,f1_score,1,0.05454545454545454
real_digits_10c,4,f1_score,2,0.8113207547169812
real_digits_10c,4,f1_score,3,0.6363636363636364
real_digits_10c,4,f1_score,4,0.5185185185185185
real_digits_10c,4,f1_score,5,0.0
real_digits_10c,4,f1_score,6,0.7037037037037037
real_digits_10c,4,f1_score,7,0.8333333333333334
real_digits_10c,4,f1_score,8,0.17307692307692307
real_digits_10c,4,f1_score,9,0.2962962962962963
real_digits_10c,4,pearson_r2,0,0.9814814814814815
real_digits_10c,4,pearson_r2,1,0.45454545454545453
real_digits_10c,4,pearson_r2,2,0.5660377358490566
real_digits_10c,4,pearson_r2,3,0.5818181818181818
real_digits_10c,4,pearson_r2,4,0.5555555555555556
